experiment,model_name,variant,total_samples,valid_output_count,invalid_output_count,hit_all,hit_mapped,exact,macro_set_f1,micro_precision,micro_recall,micro_f1,temporal_f1,point_100_f1,joint_100_f1,anchor_set_precision,anchor_set_recall,anchor_set_f1,margin_f1_1_0,margin_f1_2_0,mean_scene_normalized_error
experiment1,Qwen3-VL-30B-A3B-Instruct,full,4000,3970,30,0.77975,0.77975,0.32875,0.5656979978354979,0.564933464760966,0.5169109357384442,0.5398563522901212,,,,,,,,,
experiment1,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,4000,3969,31,0.779,0.779,0.32675,0.5651851014181897,0.5736748668526502,0.5100338218714768,0.5399856767724993,,,,,,,,,
experiment2,Qwen3-VL-30B-A3B-Instruct,full,4000,3998,2,,,,,,,,0.7347507842453816,0.24968049262228417,0.20669222725688394,,,,,,
experiment2,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,4000,4000,0,,,,,,,,0.6935223605348086,0.13497003227293683,0.08529276164130936,,,,,,
experiment3,Qwen3-VL-30B-A3B-Instruct,full,4000,4000,0,,,0.0185,,,,,,,,0.42556440178863564,0.4399098083427283,0.4326182160873663,0.25029085942637463,0.41054175729677783,0.15690768904914107
experiment3,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,4000,4000,0,,,0.01875,,,,,,,,0.42858705161854765,0.44182638105975197,0.4351060286443877,0.25249506054004767,0.4131921576574295,0.15582460419507613
