model_name,status,mask_version,decoding,evaluator_version_or_commit,sample_set_sha256,strict_model_input_feasibility_verified,paper_ready_for_strict_visual_hand_claim,experiment,variant,input_protocol,visual_mask,max_new_tokens,dtype,source_output_directory,evaluator,total_samples,valid_output_count,invalid_output_count
Qwen3-VL-30B-A3B-Instruct,completed_input_occlusion_diagnostic,hand_mask_v1,greedy; do_sample=false,git:9354f532c654931c89aafdf52a03ad7c526d1a5c,2279dc1ecab2f2fa52f4a7264b6c3ca7a117414f3585b54ec7ce12503ca2ce42,True,False,experiment1,full,video; max_video_frames=16,hand fields retained; no image mask,1536,bfloat16,data/match_eval_qwen3vl30b_mention_first_v3,paper_experiment_evidence/evaluators/evaluate_local_3d_object_match.py,4000,3970,30
Qwen3-VL-30B-A3B-Instruct,completed_input_occlusion_diagnostic,hand_mask_v1,greedy; do_sample=false,git:9354f532c654931c89aafdf52a03ad7c526d1a5c,2279dc1ecab2f2fa52f4a7264b6c3ca7a117414f3585b54ec7ce12503ca2ce42,True,False,experiment1,no_hand_strict,video; max_video_frames=16,hand fields removed; projected hand mask applied in memory,1536,bfloat16,ablation/exam1/outputs_strict_hand_v1_full/no_hand_strict,paper_experiment_evidence/evaluators/evaluate_local_3d_object_match.py,4000,3969,31
Qwen3-VL-30B-A3B-Instruct,completed_input_occlusion_diagnostic,hand_mask_v1,greedy; do_sample=false,git:9354f532c654931c89aafdf52a03ad7c526d1a5c,2279dc1ecab2f2fa52f4a7264b6c3ca7a117414f3585b54ec7ce12503ca2ce42,True,False,experiment2,full,multi_image; frozen panels,no image mask,768,auto,exam2/outputs_qwen3vl30b_2d_point_hybrid_v10,paper_experiment_evidence/evaluators/evaluate_2d_point_grounding.py,4000,3998,2
Qwen3-VL-30B-A3B-Instruct,completed_input_occlusion_diagnostic,hand_mask_v1,greedy; do_sample=false,git:9354f532c654931c89aafdf52a03ad7c526d1a5c,2279dc1ecab2f2fa52f4a7264b6c3ca7a117414f3585b54ec7ce12503ca2ce42,True,False,experiment2,no_hand_strict,multi_image; frozen panels,projected hand mask saved before processor,768,auto,ablation/exam2/outputs_strict_hand_v1_full/no_hand_strict,paper_experiment_evidence/evaluators/evaluate_2d_point_grounding.py,4000,4000,0
Qwen3-VL-30B-A3B-Instruct,completed_input_occlusion_diagnostic,hand_mask_v1,greedy; do_sample=false,git:9354f532c654931c89aafdf52a03ad7c526d1a5c,2279dc1ecab2f2fa52f4a7264b6c3ca7a117414f3585b54ec7ce12503ca2ce42,True,False,experiment3,full,candidate-free measured point hypotheses,no image mask,512,auto,exam3_point_grounding/outputs_full_v9_20260709,exam3_point_grounding/evaluate_point_grounding.py,4000,4000,0
Qwen3-VL-30B-A3B-Instruct,completed_input_occlusion_diagnostic,hand_mask_v1,greedy; do_sample=false,git:9354f532c654931c89aafdf52a03ad7c526d1a5c,2279dc1ecab2f2fa52f4a7264b6c3ca7a117414f3585b54ec7ce12503ca2ce42,True,False,experiment3,no_hand_strict,candidate-free measured point hypotheses,hand fields removed; projected hand mask applied to frozen panels,512,auto,ablation/exam3/outputs_qwen3vl30b_v9_strict_hand_v1_full/no_hand_strict,exam3_point_grounding/evaluate_point_grounding.py,4000,4000,0
