model_or_baseline,partition,total_samples,valid_output_count,invalid_output_count,valid_output_rate,anchor_set_precision_micro,anchor_set_recall_micro,anchor_set_f1_micro,anchor_set_exact_rate,mean_cardinality_error,duplicate_nearest_anchor_rate,margin_f1_at_0_5,margin_f1_at_1_0,margin_f1_at_2_0,mean_matched_margin_error,median_matched_margin_error,mean_matched_euclidean_error,median_matched_euclidean_error,mean_scene_normalized_error,median_scene_normalized_error,margin_undefined_gt_count
qwen3vl30b_v9,overall,4000,4000,0,1.0,0.42556440178863564,0.4399098083427283,0.4326182160873663,0.0185,0.92975,0.16180638083919918,0.11340988416207193,0.25029085942637463,0.41054175729677783,3.66285730150671,1.9721475429585247,7.65404078635049,2.9250738505574465,0.15690768904914107,0.0765562442005291,40
qwen3vl8b,overall,4000,4000,0,1.0,0.4262313992386665,0.4165727170236753,0.42134671303951193,0.0225,0.931,0.16515793528505393,0.11220984698657228,0.2439887581971479,0.40043718122202554,3.6734885984145547,2.0185909611209376,7.900932956791768,3.011335538081807,0.1550435134685088,0.07877181428060165,40
internvl3_38b,overall,4000,4000,0,1.0,0.433682492177935,0.3594137542277339,0.3930707108069786,0.048,0.69,0.0755784708249497,0.10058395900369443,0.23096174472649267,0.39089500655464193,3.727210330117788,2.194015669336528,8.310413950270348,2.9616961732199316,0.1614727374210885,0.08467612696632777,40
gaze_copy,overall,4000,4000,0,1.0,0.42728272827282726,0.437880496054115,0.4325167037861915,0.0435,0.854,0.11627454792922419,0.1156099602427286,0.2546557857292321,0.4193345888261143,3.6010121126569556,1.9501062831656961,7.6020439523907575,2.9307367560503073,0.15187619263041682,0.07535487709109139,40
hand_copy,overall,4000,4000,0,1.0,0.10161535275438355,0.08297632468996617,0.09135480667783777,0.00075,0.8905,0.305427694668201,0.0011423823865406584,0.00685429431924395,0.031986706823138436,17.93715329546175,7.803151232825995,23.493587814356893,18.038719067819443,0.8461770143484036,0.35842251169873884,40
gaze_hand_fusion,overall,4000,4000,0,1.0,0.3749524895477005,0.4448703494926719,0.4069299783438177,0.009,1.011,0.11711409395973155,0.10457831325301203,0.2301686746987952,0.3830361445783133,4.694072517807033,2.150696507229243,8.01078080641542,3.1125604431162506,0.2257800033133077,0.08353662959488875,40
