experiment,model,n,valid,invalid,anchor_precision,anchor_recall,anchor_f1,exact,margin_f1_0.5,margin_f1_1.0,margin_f1_2.0,mean_scene_normalized_error
experiment3_baseline,gaze_copy,4000,4000,0,0.42728272827282726,0.437880496054115,0.4325167037861915,0.0435,0.1156099602427286,0.2546557857292321,0.4193345888261143,0.15187619263041682
experiment3_baseline,hand_copy,4000,4000,0,0.10161535275438355,0.08297632468996617,0.09135480667783777,0.00075,0.0011423823865406584,0.00685429431924395,0.031986706823138436,0.8461770143484036
experiment3_baseline,gaze_hand_fusion,4000,4000,0,0.3749524895477005,0.4448703494926719,0.4069299783438177,0.009,0.10457831325301203,0.2301686746987952,0.3830361445783133,0.2257800033133077
