variant,ablation_category,num_samples,valid_output_count,valid_output_rate,temporal_precision,temporal_recall,temporal_f1,point_at_50,point_at_100,point_at_200,joint_at_50,joint_at_100,joint_at_200,mean_matched_distance,median_matched_distance,delta_temporal_f1_vs_full,delta_joint100_vs_full,delta_joint200_vs_full,same_sample_set_as_full,strict_modality_ablation,notes
full_baseline,full_baseline,4000,3964,0.9910000000,0.7203242617,0.7466986795,0.7332743884,0.0959622753,0.2469790746,0.4364279399,0.0800471559,0.2038314176,0.3635720601,57.9929421554,59.3469999732,0.0000000000,0.0000000000,0.0000000000,true,false,Reference condition.
full_panels_no_crop,preprocessing_ablation,4000,3971,0.9927500000,0.6885492648,0.7139255702,0.7010078387,0.0878175281,0.2236105381,0.3922909177,0.0683680085,0.1758708080,0.3095420522,58.7615118752,59.5618103472,-0.0322665497,-0.0279606096,-0.0540300079,true,false,Changes paired full-panel plus gaze-crop inputs to full panels only.
instruction_only_prompt,prompt_ablation,4000,3964,0.9910000000,0.6871537853,0.6254501801,0.6548516843,0.0893665158,0.2262443439,0.3911513323,0.0723981900,0.1798642534,0.3183760684,57.5737626335,58.9018399069,-0.0784227042,-0.0239671642,-0.0451959917,true,false,Keeps paired visual inputs but removes expected referent count and changes prompt mode.
no_gaze,hybrid_ablation,4000,3971,0.9927500000,0.6765523633,0.7010804322,0.6885980427,0.0777031010,0.2026883622,0.3737766773,0.0609597925,0.1550524702,0.2898243132,59.0220683565,60.6158873280,-0.0446763458,-0.0487789474,-0.0737477470,true,false,"Removes gaze-specific text, masks the projected marker, and also removes the gaze-centered crop path by changing paired inputs to full panels."
no_gaze_text_prior,hybrid_ablation,4000,3971,0.9927500000,0.6780782175,0.7014405762,0.6895615743,0.0878031510,0.2198619225,0.3926358648,0.0689207529,0.1725379123,0.3097893432,58.2963522699,59.4396114576,-0.0437128141,-0.0312935053,-0.0537827169,true,false,Removes gaze-specific text and changes paired crop preprocessing to full panels; visible marker remains.
