variant,events,gt_referents,time_evaluable_referents,predictions,time_f1,point_50_f1,point_100_f1,point_150_f1,joint_50_f1,joint_100_f1,joint_150_f1,mean_point_distance_px_100,mean_joint_distance_px_100,delta_joint_100_f1_vs_baseline,delta_point_100_f1_vs_baseline,source
full_baseline,4000,8519,8519,8695,0.7348,0.0981,0.2497,0.3577,0.0819,0.2067,0.2962,57.8782,57.6691,,,/workspace/usr3/TriModal-Referring/exam2/outputs_qwen3vl30b_2d_point_hybrid_v10/eval/2d_eval_summary.json
full_panels_no_crop,4000,8519,8519,8637,0.7003,0.0882,0.2245,0.3199,0.0690,0.1767,0.2509,58.6555,58.6647,-0.0300,-0.0252,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/full_panels_no_crop/eval/2d_eval_summary.json
instruction_only_prompt,4000,8519,8519,7582,0.6583,0.0906,0.2294,0.3191,0.0737,0.1832,0.2575,57.6385,57.0556,-0.0235,-0.0203,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/instruction_only_prompt/eval/2d_eval_summary.json
no_gaze,4000,8519,8519,8632,0.6880,0.0780,0.2030,0.2996,0.0612,0.1554,0.2308,59.0650,58.3715,-0.0512,-0.0467,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/no_gaze/eval/2d_eval_summary.json
no_gaze_text_prior,4000,8519,8519,8617,0.6890,0.0884,0.2205,0.3152,0.0697,0.1730,0.2475,58.1662,57.9481,-0.0337,-0.0292,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/no_gaze_text_prior/eval/2d_eval_summary.json
