variant,events,gt_referents,time_evaluable_referents,predictions,time_f1,point_50_f1,point_100_f1,point_150_f1,joint_50_f1,joint_100_f1,joint_150_f1,mean_point_distance_px_100,mean_joint_distance_px_100,delta_joint_100_f1_vs_baseline,delta_point_100_f1_vs_baseline,source
full_baseline,4000,8519,8519,8695,0.7348,0.0981,0.2497,0.3577,0.0819,0.2067,0.2962,57.8782,57.6691,,,/workspace/usr3/TriModal-Referring/exam2/outputs_qwen3vl30b_2d_point_hybrid_v10/eval/2d_eval_summary.json
no_hand_strict,4000,8519,8519,8833,0.6935,0.0468,0.1350,0.2143,0.0284,0.0853,0.1383,61.9473,62.4725,-0.1214,-0.1147,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs_strict_hand_v1_full/no_hand_strict/eval/2d_eval_summary.json
