experiment,model,sample_set_hash,gt_hash,row_count
experiment1,Qwen3-VL-30B-A3B,7ddcc1a72dc8607ac816bbdd23895183b02269289204213518e46e1464415026,01c4ebf80430c54b9a775046146da2d4f84267c91cb4482e1d621da0cfbc0d37,4000
experiment1,Qwen3-VL-8B,7ddcc1a72dc8607ac816bbdd23895183b02269289204213518e46e1464415026,01c4ebf80430c54b9a775046146da2d4f84267c91cb4482e1d621da0cfbc0d37,4000
experiment1,InternVL3-38B,7ddcc1a72dc8607ac816bbdd23895183b02269289204213518e46e1464415026,01c4ebf80430c54b9a775046146da2d4f84267c91cb4482e1d621da0cfbc0d37,4000
experiment2,Qwen3-VL-30B-A3B,7ddcc1a72dc8607ac816bbdd23895183b02269289204213518e46e1464415026,779e15c2332284512f80973b7b60a259df3a1e200a58b5350485b2af19a80c58,4000
experiment2,Qwen3-VL-8B,7ddcc1a72dc8607ac816bbdd23895183b02269289204213518e46e1464415026,779e15c2332284512f80973b7b60a259df3a1e200a58b5350485b2af19a80c58,4000
experiment2,InternVL3-38B,7ddcc1a72dc8607ac816bbdd23895183b02269289204213518e46e1464415026,779e15c2332284512f80973b7b60a259df3a1e200a58b5350485b2af19a80c58,4000
experiment3,Qwen3-VL-30B-A3B,7ddcc1a72dc8607ac816bbdd23895183b02269289204213518e46e1464415026,ca178f4920944004c6ccf8ccf944189504fcb769ed809f6f30f6b47f85dfdca7,4000
experiment3,Qwen3-VL-8B,7ddcc1a72dc8607ac816bbdd23895183b02269289204213518e46e1464415026,ca178f4920944004c6ccf8ccf944189504fcb769ed809f6f30f6b47f85dfdca7,4000
experiment3,InternVL3-38B,7ddcc1a72dc8607ac816bbdd23895183b02269289204213518e46e1464415026,ca178f4920944004c6ccf8ccf944189504fcb769ed809f6f30f6b47f85dfdca7,4000
