experiment,model,scene,anchor_f1,anchor_fn,anchor_fp,anchor_precision,anchor_recall,anchor_tp,exact,fn,fp,hit_all,hit_mapped,invalid,joint100_f1,joint100_fn,joint100_fp,joint100_precision,joint100_recall,joint100_tp,joint150_f1,joint150_fn,joint150_fp,joint150_precision,joint150_recall,joint150_tp,joint200_f1,joint200_fn,joint200_fp,joint200_precision,joint200_recall,joint200_tp,joint50_f1,joint50_fn,joint50_fp,joint50_precision,joint50_recall,joint50_tp,macro_set_f1,mapped,margin_f1_0.5,margin_f1_1.0,margin_f1_2.0,margin_fn_0.5,margin_fn_1.0,margin_fn_2.0,margin_fp_0.5,margin_fp_1.0,margin_fp_2.0,margin_precision_0.5,margin_precision_1.0,margin_precision_2.0,margin_recall_0.5,margin_recall_1.0,margin_recall_2.0,margin_tp_0.5,margin_tp_1.0,margin_tp_2.0,mean_scene_normalized_error,micro_f1,micro_precision,micro_recall,missing,n,parse_failures,point100_f1,point100_fn,point100_fp,point100_precision,point100_recall,point100_tp,point150_f1,point150_fn,point150_fp,point150_precision,point150_recall,point150_tp,point200_f1,point200_fn,point200_fp,point200_precision,point200_recall,point200_tp,point50_f1,point50_fn,point50_fp,point50_precision,point50_recall,point50_tp,temporal_f1,temporal_fn,temporal_fp,temporal_precision,temporal_recall,temporal_tp,tp,unmapped,valid
experiment1,Qwen3-VL-8B,scene4_room4,,,,,,,0.515,116,20,0.98,0.98,0,,,,,,,,,,,,,,,,,,,,,,,,,0.8175238095238102,200,,,,,,,,,,,,,,,,,,,,0.8057142857142857,0.9337748344370861,0.7085427135678392,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,0,200
experiment1,Qwen3-VL-8B,scene5,,,,,,,0.0475,1252,665,0.48875,0.48875,14,,,,,,,,,,,,,,,,,,,,,,,,,0.30685551948051837,800,,,,,,,,,,,,,,,,,,,,0.3190053285968028,0.4030520646319569,0.2639623750734862,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,0,786
experiment1,InternVL3-38B,scene1,,,,,,,0.2875,888,612,0.6975,0.6975,15,,,,,,,,,,,,,,,,,,,,,,,,,0.5119821428571417,800,,,,,,,,,,,,,,,,,,,,0.5072273324572929,0.5578034682080925,0.4650602409638554,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,0,785
experiment1,InternVL3-38B,scene2,,,,,,,0.1025,1536,951,0.5525,0.5525,0,,,,,,,,,,,,,,,,,,,,,,,,,0.3158552489177496,800,,,,,,,,,,,,,,,,,,,,0.30472462957785856,0.3643048128342246,0.26189332051898123,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,0,800
experiment1,InternVL3-38B,scene3,,,,,,,0.21875,1084,649,0.75375,0.75375,2,,,,,,,,,,,,,,,,,,,,,,,,,0.49243749999999886,800,,,,,,,,,,,,,,,,,,,,0.47437063997573553,0.546470999301188,0.4190782422293676,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,0,798
experiment1,InternVL3-38B,scene4_room1,,,,,,,0.6,56,43,0.975,0.975,1,,,,,,,,,,,,,,,,,,,,,,,,,0.8624047619047625,200,,,,,,,,,,,,,,,,,,,,0.8754716981132075,0.8900255754475703,0.8613861386138614,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,0,199
experiment1,InternVL3-38B,scene4_room2,,,,,,,0.67,69,6,0.99,0.99,0,,,,,,,,,,,,,,,,,,,,,,,,,0.8965000000000002,200,,,,,,,,,,,,,,,,,,,,0.8920863309352517,0.9810126582278481,0.8179419525065963,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,0,200
experiment1,InternVL3-38B,scene4_room3,,,,,,,0.535,93,9,0.98,0.98,0,,,,,,,,,,,,,,,,,,,,,,,,,0.8422857142857147,200,,,,,,,,,,,,,,,,,,,,0.8495575221238938,0.9696969696969697,0.7559055118110236,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,0,200
experiment1,InternVL3-38B,scene4_room4,,,,,,,0.52,108,32,0.98,0.98,0,,,,,,,,,,,,,,,,,,,,,,,,,0.82495634920635,200,,,,,,,,,,,,,,,,,,,,0.8055555555555555,0.9006211180124224,0.7286432160804021,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,0,200
experiment1,InternVL3-38B,scene5,,,,,,,0.10625,1063,1094,0.6225,0.6225,0,,,,,,,,,,,,,,,,,,,,,,,,,0.37559978909978947,800,,,,,,,,,,,,,,,,,,,,0.3716865715117973,0.3683602771362587,0.3750734861845973,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,0,800
experiment2,Qwen3-VL-30B-A3B,scene1,,,,,,,,,,,,0,0.23679303915475453,1186,1270,0.23076923076923078,0.2431397574984046,381,0.32069608452454945,1051,1135,0.3125378558449425,0.32929164007657946,516,0.3909260410192666,938,1022,0.3809812235009085,0.4014039566049777,629,0.09509011808576756,1414,1498,0.09267110841913992,0.09763880025526483,153,,,,,,,,,,,,,,,,,,,,,,,,,0,800,0,0.3076444996892479,1072,1156,0.29981829194427617,0.31589023611997447,495,0.40957116221255435,908,992,0.3991520290732889,0.4205488194001276,659,0.49844623990055936,765,849,0.48576620230163536,0.5118059987236758,802,0.12057178371659415,1373,1457,0.1175045427013931,0.12380344607530312,194,0.6793039154754507,474,558,0.6620230163537251,0.6975111678366305,1093,,,800
experiment2,Qwen3-VL-30B-A3B,scene2,,,,,,,,,,,,0,0.22072072072072071,1594,1520,0.22488526262111166,0.2167076167076167,441,0.30680680680680683,1422,1348,0.3125956144824069,0.30122850122850126,613,0.38988988988988993,1256,1182,0.3972463029066803,0.3828009828009828,779,0.08608608608608609,1863,1789,0.08771035186129526,0.08452088452088452,172,,,,,,,,,,,,,,,,,,,,,,,,,0,800,0,0.23873873873873877,1558,1484,0.24324324324324326,0.2343980343980344,477,0.33683683683683685,1362,1288,0.3431922488526262,0.3307125307125307,673,0.4239239239239239,1188,1114,0.43192248852626214,0.41621621621621624,847,0.09209209209209208,1851,1777,0.09382967873533911,0.09041769041769042,184,0.7577577577577578,521,447,0.7720550739418663,0.743980343980344,1514,,,800
experiment2,Qwen3-VL-30B-A3B,scene3,,,,,,,,,,,,0,0.21275426058273775,1385,1479,0.20739549839228297,0.21839729119638826,387,0.30456294667399675,1218,1312,0.29689174705251875,0.3126410835214447,554,0.3760307861462342,1088,1182,0.3665594855305466,0.3860045146726862,684,0.09620670698185817,1597,1691,0.09378349410503752,0.09875846501128668,175,,,,,,,,,,,,,,,,,,,,,,,,,0,800,0,0.2468389224848818,1323,1417,0.24062165058949625,0.2533860045146727,449,0.35294117647058826,1130,1224,0.3440514469453376,0.3623024830699774,642,0.4337548103353491,983,1077,0.4228295819935691,0.4452595936794582,789,0.11214953271028037,1568,1662,0.10932475884244373,0.11512415349887133,204,0.7691039032435405,373,467,0.7497320471596999,0.7895033860045146,1399,,,800
experiment2,Qwen3-VL-30B-A3B,scene4_room1,,,,,,,,,,,,0,0.17694369973190352,314,300,0.18032786885245902,0.1736842105263158,66,0.2815013404825737,275,261,0.28688524590163933,0.27631578947368424,105,0.34048257372654156,253,239,0.3469945355191257,0.33421052631578946,127,0.05630026809651475,359,345,0.05737704918032787,0.05526315789473684,21,,,,,,,,,,,,,,,,,,,,,,,,,0,200,0,0.2171581769436997,299,285,0.22131147540983606,0.2131578947368421,81,0.3485254691689008,250,236,0.3551912568306011,0.34210526315789475,130,0.4235924932975871,222,208,0.43169398907103823,0.41578947368421054,158,0.07506702412868634,352,338,0.07650273224043716,0.07368421052631578,28,0.7372654155495979,105,91,0.7513661202185792,0.7236842105263158,275,,,200
experiment2,Qwen3-VL-30B-A3B,scene4_room2,,,,,,,,,,,,1,0.17110799438990182,276,315,0.1622340425531915,0.18100890207715134,61,0.28892005610098176,234,273,0.27393617021276595,0.3056379821958457,103,0.36185133239831696,208,247,0.34308510638297873,0.3827893175074184,129,0.05890603085553997,316,355,0.05585106382978723,0.06231454005934718,21,,,,,,,,,,,,,,,,,,,,,,,,,0,200,1,0.22159887798036465,258,297,0.21010638297872342,0.2344213649851632,79,0.3674614305750351,206,245,0.3484042553191489,0.3887240356083086,131,0.45441795231416543,175,214,0.4308510638297872,0.4807121661721068,162,0.08976157082748948,305,344,0.0851063829787234,0.09495548961424333,32,0.6928471248246845,90,129,0.6569148936170213,0.7329376854599406,247,,,199
